职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
GoLang开发工程师（直播）,https://www.lagou.com/jobs/6345020.html,杨浦区,15k-30k,上海哔哩哔哩科技有限公司,3-5年,不限,福利多,"工作职责：1、独立负责B站直播相关一个或多个微服务业务模块；2、参与基础库，服务发现治理，中间层研发。任职要求：1、3年及以上的的服务端开发经验，具有扎实的计算机基础；2、熟悉Linux, 熟悉网络编程&高并发编程，独立负责过QPS/TPS>10k的系统，具有很强的线上定位问题能力；3、具有很强的业务抽象和架构能力，数据敏感，较深刻了解MySQL Redis Nginx等服务端相关软件的原理及使用，能够独立决策技术选型，进行复杂的系统设计；4、有GoLang编程经验，会PHP加分；5、有严谨的工作态度，思路清晰，业务敏感，执行力强；6、文档能力强，书面表达、口头表达能力佳。"
服务端开发（Golang）,https://www.lagou.com/jobs/6245439.html,徐汇区,15k-25k,上海汇付数据服务有限公司,1-3年,本科,"扁平管理,团队氛围好","岗位职责：1、 负责DevOps平台相关的研发、工具链的搭建、推动DevOps流程落地2、 负责新技术的研究与引进，系统框架搭建、服务设计等3、 负责与各部门沟通用户需求、痛点，提升平台用户体验任职要求：1、工科、计算机或其他相关专业本科及以上学历，985、211院校优先；2、有大型互联网系统级架构、设计经验，对高可用、负载均衡、分布式有一定经验和研究者优先；3. 熟练掌握Golang 编程语言，有其他脚本语言使用经验者优先，例如Nodejs,Python,Shell4. 熟悉微服务框架，Restful,RPC等架构风格，有Grpc,Docker相关使用经验者优先5、熟悉前端web开发、H5/CSS、JS等，有vue、angular相关使用经验者优先；6、熟悉Linux操作系统，熟悉mysql、redis、es等数据库技术；7、熟悉DevOps相关的工具，JIRA、redmine、jenkins、svn/git等8、具备良好的学习能力、沟通能力、团队精神，良好的编程和文档管理能力；"
golang服务器开发工程师,https://www.lagou.com/jobs/6229828.html,徐汇区,30k-50k,上海散爆网络科技有限公司,5-10年,本科,福利好,岗位职责：1.负责新项目服务器端架构设计、模块划分、单元测试2.负责服务器性能优化3.负责管理项目服务端代码质量4.负责前期服务器端程序逻辑开发和维护、辅助工具的开发5.与策划、美术以及客户端密切配合，保证产品的高效开发与质量任职资格：1.具有5年及以上手游开发工作经验，3年以上Go语言开发经验，经历过一个完整的项目，游戏立项到上线的整个开发过程者优先 2.精通常用数据结构和算法、精通面向对象程序设计3.熟悉Linux，熟悉常用的第三方组件，redis，mysql等4.精通Go语言，熟悉socket和多线程编程，熟练掌握1-2门其他语言5.了解Go生态，了解docker，k8s，micro-service等组件，了解持续集成，自动化测试
Go研发专家,https://www.lagou.com/jobs/6218656.html,浦东新区,30k-45k,支付宝（杭州）信息技术有限公司,5-10年,本科,蚂蚁金服,1、熟练掌握Java或Go语言开发，3年或3年以上开发经验；2、熟悉Docker等虚拟化技术、熟悉Kubernetes或Swarm等容器编排技术；3、熟悉云计算相关技术，有AWS、GCP、阿里云、OpenShift、CloudFounry等相关经验者优先；4、熟悉Linux系统和日常命令、熟悉Shell脚本开发5、熟悉ELK、Prometheus、Fluentd监控分析等平台者优先6、较强的自我驱动能力、积极主动学习新技术；较好的团队沟通和协作能力
高级Golang开发工程师,https://www.lagou.com/jobs/6197601.html,浦东新区,12k-22k,上海讯联数据服务有限公司,3-5年,本科,奖金，旅游，十四薪，员工期权,"我们是CardInfoLink讯联数据，亚太地区领先的移动支付Fintech企业。我们由红杉资本中国和日本TIS Intec集团投资，并通过PCI DSS和ISO 27001认证。我们总部在上海，在无锡设有专业的软件交付中心，在北京、香港、东京、新加坡、曼谷设有客户服务分支机构，讯联数据的服务系统，基于中国大陆，逐步扩展海外，辐射整个亚太地区。我们企业善良、包容、中西合并；小伙伴聪明而自信开朗；还有全球化业务和出差机会；国内顶级Go开发者论坛的讲师；SaaS产品服务全球和国内顶级客户，IT赋能客户成长.职位诱惑：全年十四薪，五险一金，期权鼓励；工作日每天有餐补和交通补贴；大牛带队，技能培训，职位晋升；家人关爱，为你为我。 你的职责:1、负责服务端系统的开发和维护工作；2、对现有系统进行持续改进和优化。我们期望:你热爱编程，有一定的开发经验，熟练掌握项目开发流程，了解 Git, Git Flow 或类似工作流程；喜欢动手实现自己的想法，总结并分享自己的经验，拥有持续维护的技术博客、github 或者个人软件作品；不仅能够写出简洁、优美、富有逻辑的程序，更有着挑战新事物新任务的激情；或者你自认为不是高手，但有灭掉任何高手的勇气和信心。加分项1、熟悉Java语言；2、具备良好的沟通、组织、协调能力，较强的语言组织及表达能力；3、具备高负载、高并发系统设计、开发经验者优先；4、具备支付系统、会员卡、积分、营销系统的开发经验者优先。 薪酬：14薪+年终奖金+项目奖励+分享1亿的超大期权池对你未来的期许：简单说就是：工作就是不断的输入，不断地输出，输入的是知识或技能，输出的也是知识或技能，我们看到你的表现，优异者有机会进入核心团队，晋升为研发中心一哥一姐！ 在一个对的时间、遇见一个对的企业，未来5年的成长，期许一段不负自己不负时代的波澜壮阔。期待你来，讯联数据大家庭！"
高级Golang开发工程师,https://www.lagou.com/jobs/5384555.html,浦东新区,25k-45k,上海腾聘企业管理咨询有限公司,1-3年,不限,发展好,1、三年以上开发经验，2年以上的Golang开发经验；2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、socket等相关技术；3、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；4、熟练掌握Golang常用框架，深入了解框架提供的特性及其实现原理细节；5、有大规模分布式系统的设计和开发经验，能独立完成系统的设计及开发；6、有知名互联网公司背景优先，211.985，硕士优先
golang开发工程师,https://www.lagou.com/jobs/6272399.html,闵行区,20k-30k,上海中通吉网络技术有限公司,5-10年,本科,发展前景 晋升通道 薪酬福利,"岗位职责：1. 负责项目后端系统的研发和维护工作；2、分析业务需求，撰写技术方案和系统设计； 3、对现有系统进行改进和优化。 岗位要求：1. 本科及以上学历，计算机相关专业；3年以上Golang开发工作经验；5年以上后端开发经验。2. 掌握Golang 以及相关工具集、数据结构 & 算法；3. 熟悉 MySql、Redis、MongoDB等数据库，熟悉常用数据结构和算法优先；4. 有大型项目开发经验，系统调优经验者优先, 有高并发分布式系统开发经验优先;5. 有较强的团队合作精神，责任感强，主动性强."
中高级Golang开发工程师,https://www.lagou.com/jobs/6281061.html,闵行区,13k-25k,上海答派体育文化发展有限公司,1-3年,本科,周末双休，带薪年假,1.参与SAAS平台的架构设计与开发；2.参与业务模块的业务开发和抽象。 任职资格：1. 至少2年以上开发经验，熟练掌握至少一种后端开发语言，比如PHP/C++/Golang/Java/Python，能够或愿意使用Golang进行开发； 2. 有良好的数据结构、算法基础，熟悉Linux操作系统、网络协议、多线程编程； 3. 具备很强的编码能力、抽象能力，有良好的编程风格； 4. 有开源项目参与经验优先； 5. 熟悉kubernetes、docker者优先。
初级Golang开发工程师,https://www.lagou.com/jobs/6197585.html,浦东新区,8k-11k,上海讯联数据服务有限公司,1-3年,不限,奖金，旅游，十四薪，员工期权,"我们是CardInfoLink讯联数据，亚太地区领先的移动支付Fintech企业。我们由红杉资本中国和日本TIS Intec集团投资，并通过PCI DSS和ISO 27001认证。我们总部在上海，在无锡设有专业的软件交付中心，在北京、香港、东京、新加坡、曼谷设有客户服务分支机构，讯联数据的服务系统，基于中国大陆，逐步扩展海外，辐射整个亚太地区。我们企业善良、包容、中西合并；小伙伴聪明而自信开朗；还有全球化业务和出差机会；国内顶级Go开发者论坛的讲师；SaaS产品服务全球和国内顶级客户，IT赋能客户成长.职位诱惑：全年十四薪，五险一金，期权鼓励；工作日每天有餐补和交通补贴；大牛带队，技能培训，职位晋升；家人关爱，为你为我。 你的职责:1、负责服务端系统的开发和维护工作；2、对现有系统进行持续改进和优化。我们期望:你热爱编程，有一定的开发经验，熟练掌握项目开发流程，了解 Git, Git Flow 或类似工作流程；喜欢动手实现自己的想法，总结并分享自己的经验，拥有持续维护的技术博客、github 或者个人软件作品；不仅能够写出简洁、优美、富有逻辑的程序，更有着挑战新事物新任务的激情；或者你自认为不是高手，但有灭掉任何高手的勇气和信心。加分项1、熟悉Java语言；2、具备良好的沟通、组织、协调能力，较强的语言组织及表达能力；3、具备高负载、高并发系统设计、开发经验者优先；4、具备支付系统、会员卡、积分、营销系统的开发经验者优先。 薪酬：14薪+年终奖金+项目奖励+分享1亿的超大期权池对你未来的期许：简单说就是：工作就是不断的输入，不断地输出，输入的是知识或技能，输出的也是知识或技能，我们看到你的表现，优异者有机会进入核心团队，晋升为研发中心一哥一姐！ 在一个对的时间、遇见一个对的企业，未来5年的成长，期许一段不负自己不负时代的波澜壮阔。期待你来，讯联数据大家庭！"
golang,https://www.lagou.com/jobs/6357212.html,浦东新区,20k-35k,广州光峰科技有限公司,3-5年,不限,待遇好,【技能要求】 1.5年以上后端开发经验，至少2年Go开发经验 2.对高并发、异步编程有深刻理解 3.有良好的系统设计能力优先，具备按时完成项目开发与交付的能力 4.有实际Golang大型项目经验的优先 5.能独立工作，按时完成工作安排
