职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息
Java开发工程师,https://www.lagou.com/jobs/6488236.html,浦东新区,18k-25k,上海汉得信息技术股份有限公司,3-5年,本科,过节费 过节礼品 拓展 培训 提升 大牛,"岗位职责：1、负责后台核心模块的开发与支持；2. 根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；任职要求：1、统招本科或以上学历，4年以上Java开发工作经验；2、扎实的JAVA基础编程能力；3、有Spring Cloud、Spring framework, SSM等主流框架项目经验；4、数据结构和算法基础扎实5、熟悉linux命令6、有以下工作经验加分（非必需）：   人工智能相关经验   GRPC   OKHTTP   MongoDB"
中级java开发工程师,https://www.lagou.com/jobs/6412546.html,长宁区,15k-20k,秒针信息技术有限公司,3-5年,本科,行业TOP;团队氛围，晋升空间；福利待遇,岗位职责1、参与电商项目后端研发；2、参与需求分析与设计；3、按照公司规范对代码进行测试，保证交付代码质量；4、指导初级开发人员完成系统设计和开发工作；任职要求1、有互联网电商项目经验者优先；2、Java基础扎实，了解JVM，多线程；3、了解dubbo、springboot 、springcloud，读过框架源码者优先；4、熟练使用MyBatis，springmvc；5、了解分布式架构，了解缓存，消息，负载均衡等级制；6、熟练常用的中间件，Redis、ZooKeeper、ActiveMAQ、Kafka；7、熟练使用Tomcat、jetty等应用服务器；8、能够熟练操作Nginx、Linux系统，使用过腾讯云服务器者优先；
JAVA开发工程师,https://www.lagou.com/jobs/5213086.html,杨浦区,10k-15k,上海汇绿电子商务有限公司,3-5年,本科,"高绩效,高项目奖金,企业年金,补充公积金","岗位描述1、负责所属模块的功能规划、需求分析设计、技术实现和用户体验提升；2、负责所属模块的代码开发、调试与维护工作；3、参与公司系统的架构优化，性能优化并辅助其他模块进行技术实现；4、协助并完成其他各类技术开发任务。 任职要求1、计算机或者相关专业，统招全日制本科及以上学历。2、良好的问题理解能力，能够理解以及处理复杂逻辑。3、2年以上java及WEB应用软件开发经验，熟知软件开发流程；4、熟练应用Spring,SpringMVC,SpringBoot,Mybatis框架，理解其运作原理；5、熟练使用各种缓存工具，如memcache、redis、mongodb等；6、了解或熟悉一种或多种消息框架，如rabbitmq、kafkamq、activemq、rocketmq；7、熟悉Linux下Nginx/Apache、MYSQL各种配置和调优，能够在Linux环境下开发，掌握各种调优技巧；8、熟悉基本的HTML/CSS/JS/jQuery/AJAX等前端相关知识和svn,git等版本控制工具；9、有高并发、高负载、高可用，分布式、集群系统开发经验优先。1979年创立的上海城建物资有限公司是国资委下以商品混凝土、预制构件、新型建材科研开发、生产销售为主业的国有独资企业，具有高新技术企业称号。是获得日本PC协会认证资质的混凝土预制构件企业。多次参与了上海市标志性工程和重大工程项目建设。承揽了上海轨道交通、源深体育中心、延安路高架工程、浦东机场、虹桥交通枢纽工程、世博中国馆及世博园区、陆家嘴金融贸易区、外滩通道、中环线抢修等重点工程。“十三五”期间，城建物资进一步明确了“绿色产业”发展的目标，从生产制造型企业向生产服务性企业转型，积极发展服务型制造和生产性服务，加速转型发展，成为新材料综合服务商。2015年城建物资投资成立绿色建筑供应链集成服务平台——“绿智汇”（汇绿公司）（www.igreenbuy.com），集展示、交易、认证、推广、交流及相关配套服务为一体的O2O供应链电商平台。 “绿智汇”平台通过线上线下相结合的方式为绿色建材相关企业提供品牌、产品、技术、工艺等方面的线上展示，并结合线下孵化器、线下展厅、新品推荐会、技术研讨、专业论坛等活动来促进绿色建材产品交易与推广应用。为绿色产业链上的企业提供绿色建材标识认证、专业咨询、商务办公、生产厂房、配套物流、金融服务、产业孵化基金等一站式产业配套专业服务。 目前，“绿智汇”电商平台分为四大业务范围，分别是：绿色建材、绿色建筑、绿色能源和循环经济四大业务的线上线下的展示、交易及配套服务。产品分别是：采购平台、新材料大数据中心、智推宝（市场推广）、zhaopc（装配式）、智能健康快装、交易结算中心、技术营销中心。经过几年的沉淀与积累，绿智汇将进行混改，在业务上不断升级。 福利待遇:1、私人定制的薪资结构，领先于业内水平；2、年终奖金、绩效奖金、还有与你的能力和表现对应的项目奖金等；3、价值体现的调薪机制，个性化的职业发展通道；4、为每位员工缴纳（五险三金）养老保险、医疗保险、失业保险、工伤保险、生育保险、企业年金、补充公积金。 来吧！加入“绿智汇”让我们一起任性！ 公司主页：www.shmgc.com“绿智汇”平台：www.igrenbuy.com绿智汇公众号：绿智汇"
资深java开发工程师,https://www.lagou.com/jobs/6408973.html,长宁区,20k-30k,秒针信息技术有限公司,5-10年,本科,行业TOP;团队氛围，晋升空间；福利待遇,岗位职责1、负责完成重要系统模块及核心框架的搭建及编码实现；2、帮助团队解决日常技术难题；3、参与代码走查和评审；4、提升技术团队整体技术能力；任职要求1、有大型电商/综合系统的开发经验，有大型业务系统架构能力，大型分布式系统设计能力，有较强的复杂系统领域建模能力；2、熟悉多线程、多进程编程，分布式并行系统设计，精通高并发，缓存技术，消息中间件；3、java基础扎实，熟悉io、多线程、稽核等基础框架，深度掌握dubbo、springboot 、springcloud；4、熟悉前端流行框架，如VueJS、AngularJS等；5、精通MySQL数据库，熟悉高性能事务处理相关的技术(消息队列，中间件等)；6、有电商秒杀、拼团等抢购功能有实际落地经验者优先；
Java开发工程师,https://www.lagou.com/jobs/5789533.html,浦东新区,21k-35k,支付宝（杭州）信息技术有限公司,3-5年,硕士,股票期权,
资深Java工程师,https://www.lagou.com/jobs/6490402.html,浦东新区,30k-50k,滴滴优点科技（深圳）有限公司,5-10年,本科,资本雄厚 智慧公交调度系统top1,"工作职责：1. 参与公司相关业务体系的整体技术架构设计，并结合公司实际业务情况进行技术选型及系统重构。2. 把控业务产品的需求分析、架构设计、技术决策、开发规范及核心代码实现。3. 负责架构优化及系统关键模块的设计开发，持续优化系统性能、解决疑难技术难题、提升用户体验。4. 负责新技术的调研，参与建设研发体系，制定系统设计、开发的标准及规范。5. 推动研发效率、质量的持续提升并能在团队内进行推广应用。任职要求：1. 36岁以内，985高校毕业，计算机相关专业，至少7年大型互联网、电商平台开发经验（阿里P7/腾讯T3.1/百度T7 级别优先）。2. 精通Java，熟悉常用主流后台服务基础框架（框架特性及其实现原理），熟悉分布式系统的设计原理，熟悉多线程、缓存、JMS消息等机制，熟悉微服务架构设计原理,并有过相关实战经验。3. 关注互联网技术的前沿发展，主动学习，具备跨团队的技术影响力，并能主动推动技术成果落地。公司介绍：滴滴优点科技（深圳）有限公司于2016年3月份是由【深圳巴士集团】+【滴滴出行】+【中科院深圳北斗应用技术研究院】三方合资1.5亿成立。滴滴优点基于大数据、物联网和移动互联网技术，专注于智慧公交调度系统研发的人工智能应用高科技公司。截止2018年中旬，滴滴出行全国公交业务已全部承接滴滴优点旗下。2019年初滴滴优点产品已陆续在全国各城市上线运营。"
JAVA资深开发工程师,https://www.lagou.com/jobs/6496136.html,浦东新区,18k-25k,上海微创软件股份有限公司,5-10年,本科,车联网；领导nice等,"· The Software Developer designs, builds, configures and tests IT solutions of business applications according to customer requirements with core competence in back end development · Understanding product requirements and design of a Micro-service Architecture and software containers based planning and realization concept · Complete the API design and service development and back end Integration · Define and manage the development tasks within the development team · Identifies, uses and documents SW libraries e.g. Open source SW, APIs. Implements functions or configures business applications according to the specification. Tests, develops and documents application systems. Analyzes and specifies technical requirements for existing systems, Estimates implementation effort and performs feasibility checks of requirements  · BS in Computer Science, Software Engineering, or a related field. · Minimum 5 years’ experience in backend service development especially with Micro-service Architecture based Database design, Container based software solutions · Experienced in using Java(JPA/JTA) with Spring Cloud framework (Spring boot), and RDS (i.e., mysql) / NoSQL(i.e., Redis/Mongo/Hbase) / MQ (i.e., Kafka) in mobile product environment. · Familiar with micro-service architecture and RESTful API/ API gateway design and realization,  · Familiar with container environment incl. k8s, Docker, Hystrix or similar · Experienced in design and implement system with design pattern, high availability, disaster recovery, high concurrency and security(SAML2/OAuth2). · Experience with infra environment i.e., AWS cloud, Linux and network. · Clean and efficient coding methodology, data structure, algorithm and team spirit. · Good at trouble shooting, problem solving, new technical investigation. · Good team communication and learning skills. · Familiar with agile development methodology. · Good communication with different departments and foreigner colleagues and team lead experience with China digital developers."
资深Java开发工程师,https://www.lagou.com/jobs/6495569.html,浦东新区,28k-38k,威斯科技（苏州）有限公司,5-10年,本科,发展前景好,"1、有机会接触到各种在现代企业产品快速创新迭代和研发效能中使用的技术和产品; 2、拥有全栈开发的机会，你不仅可以在技术上打通后端，甚至可以做自己的产品经理; 3、负责公司内部研发团队的效率工具开发,  能够提升整个研发过程中,项目、研发、测试、发布、运维等不同环节的效率; 4、整合各种包管理平台和构建工具的创建和改进，优化包的版本管理； 5、负责全局收集分析项目组需求，利用技术解决研发项目痛点问题，帮助项目组推动整个项目质量的提升;任职资格1、具备5年以上Java开发经验，精通SOA,精通微服务业务开发、测试、发布、线上运行,  熟悉Junit单元测试知识; 2、熟悉RESTful接口设计,测试,  OSGi模块化开发知识; 3、熟悉各种中间件的使用，类似消息中间件RocketMQ，缓存Redis，搜索ElasticSearch等,在必要的时候能够深入到中间件源码查找问题; 4、熟悉Spring、Springboot、MyBatis，Dubbo,  SpringCloud等主流框架，深入了解源码者优先； 5、能独立负责设计开发，逻辑缜密，乐于分析事物本质，能良好地抽象问题，系统地解决问题； 6、有性能优化、线上故障处理实战经验"
中高级java,https://www.lagou.com/jobs/6492987.html,浦东新区,16k-23k,上海兆殷特科技有限公司,5-10年,大专,五险一金，加班补贴，打车报销,工作职责：1. 负责公司核心项目的开发和维护工作；2. 负责核心模块的详细设计、编码、单元测试；3. 性能优化，包括代码及数据库优化；（高级/中级，java开发工程师职级按面试结果评定）任职资格：1.4年以上Java开发经验，具有金融、汽车融资租赁行业及SpringCloud项目经验者优先考虑；2.Java基础扎实，理解io、多线程、集合等基础框架，熟悉常用数据结构、算法、设计模式；3.熟悉web开发技术，熟悉使用springboot 、spring、struts、ibatis/mybatis或hibernate、shiro等权限管理以及单点登录开发；4.熟悉工作流引擎activiti、redis、mq消息队列开发和配置；5.理解HTTP协议，熟悉rest接口开发，熟悉前后端分离，前后端协同开发；6.了解JVM优先。
高级JAVA开发（直播方向）,https://www.lagou.com/jobs/6496121.html,徐汇区,20k-35k,上海鱼泡泡信息科技有限公司,3-5年,本科,薪资优渥 年底多薪,岗位描述1.理解业务需求，参与app系统功能代码编写及架构设计开发工作；2.主持参与系统的开发与维护，分析系统的优化点，解决存在的技术问题，主动推进直播业务模块的性能优化，保证系统的稳定性；3.代码编写，文档撰写，code review，指导和培训新工程师；4. 重点项目的设计方案支持与评审。岗位要求1.本科或以上学历，计算机软件或相关专业，有3年以上工作经验；2.精通Java开发，深入理解jvm原理，熟悉netty等网络组件，熟悉常用框架（Spring、Spring MVC、Mybatis、dubbo）并能掌握其原理和机制；3.熟悉 MySQL，redis，mq，消息推送等技术的使用与优化4.熟悉Spring cloud微服务或者dubbo微服务技术体系，对分缓存使用，熔断限流等技术的原理和使用场景有一定理解5.具备系统调优、性能调优等技能，对疑难技术问题具备较强的排查能力； 6.参与或负责过大规模分布式系统的开发设计;7.对技术有激情，有较强的独立开发能力、主动的学习能力，良好的沟通表达能力和团队协作能力；8.有参与过高并发直播系统建设，打造直播项目或类似开发经验者优先。
